segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_revenue,avg_review,revenue_pct,customer_pct
At Risk,22230,394.66221322537115,1.0479982006297797,212.10969590643276,4715198.54,4.1720677144137515,23.8,23.8
Loyal Customers,27325,144.17610247026533,1.0326806953339434,165.70561903019214,4527906.04,4.132709489681546,22.9,29.3
Churned,14986,395.5081409315361,1.0,214.8006552782597,3219002.62,4.178257071826916,16.3,16.1
Recent Customers,14984,90.87840363053924,1.0,204.3586992792312,3062110.75,4.20470856529613,15.5,16.1
Champions,6460,91.04752321981424,1.1795665634674923,442.07813777089785,2855824.77,4.142735149465919,14.4,6.9
Potential Loyalists,4353,220.50310130944177,1.0,282.5486744773719,1229934.38,3.9264671769890978,6.2,4.7
Others,3020,219.86456953642383,1.0,55.027596026490066,166183.34,4.172109296901033,0.8,3.2
